id,barrio,tipo_propiedad,tipo_habitacion,capacidad,banios,dormitorios,camas,precio_ars,minimo_noches,cantidad_resenias,puntaje_resenias,superanfitrion,latitud,longitud,noches_ocupadas_anio
13532379,Recoleta,Private room in condo,Private room,1,1,,1,43178,2,93,4.97,si,-34.5947,-58.4095,54
14685300,Palermo,Entire rental unit,Entire home/apt,6,3.5,3,5,280352,2,70,5,no,-34.5819,-58.4416,36
14694378,San Telmo,Entire serviced apartment,Entire home/apt,5,2,2,3,215394,1,44,4.73,si,-34.6179,-58.3695,36
14709228,Recoleta,Entire rental unit,Entire home/apt,3,1,1,2,938478,2,76,4.78,no,-34.5959,-58.4072,0
14711109,San Telmo,Entire serviced apartment,Entire home/apt,3,1,,2,101736,1,346,4.96,si,-34.6263,-58.3735,255
14730097,San Telmo,Entire home,Entire home/apt,3,1,1,2,145818,7,0,,no,-34.6162,-58.3749,0
14732144,Villa Ortuzar,Private room in rental unit,Private room,2,2,,3,36726,3,49,4.88,si,-34.5781,-58.4625,42
14744823,Palermo,Entire loft,Entire home/apt,4,1.5,1,2,,10,26,4.58,si,-34.5905,-58.4218,40
14085179,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,97938,2,284,4.75,si,-34.5822,-58.4213,216
14746685,Puerto Madero,Entire rental unit,Entire home/apt,4,2,2,3,288676,4,36,4.81,no,-34.6103,-58.3619,0
14748508,Palermo,Entire rental unit,Entire home/apt,2,,,,,5,90,4.84,no,-34.5838,-58.4227,0
14755182,Palermo,Entire rental unit,Entire home/apt,2,1,1,3,55344,7,65,4.75,si,-34.5768,-58.4232,168
14771773,San Cristobal,Entire rental unit,Entire home/apt,2,1,1,1,60151,5,78,4.67,no,-34.6203,-58.3948,0
14772774,San Telmo,Private room in rental unit,Private room,2,1,,1,51657,2,29,4.45,no,-34.6174,-58.3717,6
14773307,Palermo,Entire rental unit,Entire home/apt,2,1.5,1,1,882850,5,8,5,no,-34.5671,-58.4368,0
14785781,Retiro,Private room in rental unit,Private room,1,2,,1,40353,4,3,4.67,no,-34.5975,-58.3794,0
13542914,Recoleta,Entire condo,Entire home/apt,2,1,1,1,89580,2,75,4.71,si,-34.594,-58.3917,6
13633612,Villa Crespo,Entire rental unit,Entire home/apt,2,1,1,1,62037,2,189,4.76,si,-34.6003,-58.4439,120
13634767,Palermo,Entire rental unit,Entire home/apt,2,1.5,1,1,,30,0,,no,-34.5824,-58.4301,0
13648316,Parque Patricios,Entire rental unit,Entire home/apt,2,1,1,1,84956,2,12,4.92,no,-34.6324,-58.4085,24
13655633,Palermo,Entire condo,Entire home/apt,2,1,1,1,70528,8,44,5,no,-34.5792,-58.435,64
13659362,Monserrat,Entire condo,Entire home/apt,4,1,2,2,73144,2,90,4.96,si,-34.6168,-58.3792,66
13669848,Almagro,Entire rental unit,Entire home/apt,3,1,2,2,159412,3,1,5,no,-34.6024,-58.4128,0
14086919,San Telmo,Private room in home,Private room,2,3.5,,1,27111,14,7,4.86,si,-34.6173,-58.3717,28
14090273,San Nicolas,Entire rental unit,Entire home/apt,4,1,2,3,64295,1,649,4.79,si,-34.6029,-58.3831,255
14091811,Colegiales,Entire condo,Entire home/apt,2,1,,1,114149,3,202,4.92,si,-34.5783,-58.4496,6
14790676,Palermo,Entire rental unit,Entire home/apt,4,1,1,1,80036,3,82,4.82,no,-34.5817,-58.4263,120
14809260,Palermo,Entire rental unit,Entire home/apt,6,2,3,5,461183,7,6,4.33,no,-34.5652,-58.4345,0
14825394,Palermo,Entire loft,Entire home/apt,5,1.5,,3,116031,1,177,4.62,no,-34.5921,-58.4248,114
